session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"28000197D99708E5","CAC-FPEFTXJTEMCEPRXTRE","AdministratorAA","AITS25A1NB0140","Grant","2025-07-14 03:43:47.917","2025-07-14 03:44:42.819","0.92","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D99708E5-140725034347-AITS25A1NB0140-AdministratorAA"
"18000197D996FD1E","CAC-FPEFTXJTEMCEPRXTRE","AdministratorAA","AITS25A1NB0140","Grant","2025-07-14 04:02:56.928","2025-07-14 04:32:35.203","29.64","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D996FD1E-140725040256-AITS25A1NB0140-AdministratorAA"
"48000197D997463D","CAC-FPEFTXJTEMCEPRXTRE","AdministratorAA","AITS25A1NB0140","Grant","2025-07-14 04:47:22.281","2025-07-14 04:49:21.574","1.99","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D997463D-140725044722-AITS25A1NB0140-AdministratorAA"
"18000197D996FD26","CAC-FPEFTXJTEMCEPRXTRE","AdministratorAA","AITS25A1NB0140","Grant","2025-07-14 04:49:33.256","2025-07-14 04:57:37.747","8.07","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D996FD26-140725044933-AITS25A1NB0140-AdministratorAA"
"18000197D996FD28","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 05:00:31.461","2025-07-14 05:01:04.498","0.55","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D996FD28-140725050031-AITS25A1NB0140-Supakit.U"
"48000197D9974641","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 05:01:14.929","2025-07-14 05:01:56.166","0.69","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D9974641-140725050114-AITS25A1NB0140-Supakit.U"
"48000197D9974642","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 05:03:03.714","2025-07-14 05:03:36.551","0.55","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D9974642-140725050303-AITS25A1NB0140-Supakit.U"
"48000197D997465E","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 06:11:16.248","2025-07-14 06:11:42.911","0.44","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D997465E-140725061116-AITS25A1NB0140-Supakit.U"
"48000197D9974685","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 07:53:30.166","2025-07-14 08:16:38.908","23.15","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D9974685-140725075330-AITS25A1NB0140-Supakit.U"
"28000197D997093B","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 08:16:41.811","2025-07-14 08:51:22.138","34.67","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D997093B-140725081641-AITS25A1NB0140-Supakit.U"
"18000197D996FD79","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-14 09:11:57.758","2025-07-14 10:39:44.950","87.79","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D996FD79-140725091157-AITS25A1NB0140-Supakit.U"
"28000197D997099D","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-15 01:09:54.554","2025-07-15 01:23:17.723","13.39","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D997099D-150725010954-AITS25A1NB0140-Supakit.U"
"48000197D99746F4","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-07-15 01:23:24.086","2025-07-15 01:23:43.033","0.32","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-48000197D99746F4-150725012324-AITS25A1NB0140-Supakit.U"
