session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"28000197D99709B6","CAC","pathamalee.r","AHT19ITNB0030","Grant","2025-07-15 02:31:21.836","2025-07-15 02:31:48.059","0.44","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D99709B6-150725023121-AHT19ITNB0030-pathamalee.r"
"48000197D9974710","CAC","pathamalee.r","AHT19ITNB0030","Grant","2025-07-15 02:32:14.443","2025-07-15 02:32:55.599","0.69","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-48000197D9974710-150725023214-AHT19ITNB0030-pathamalee.r"
"28000197D99709B7","CAC","pathamalee.r","AHT19ITNB0030","Grant","2025-07-15 02:33:27.942","2025-07-15 02:34:14.839","0.78","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D99709B7-150725023327-AHT19ITNB0030-pathamalee.r"
"28000197D99709C0","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-15 03:03:58.260","2025-07-15 03:12:53.217","8.92","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99709C0-150725030358-AITS25A1NB0210-yamonporn.t"
"18000197D996FDE8","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-15 03:14:35.067","2025-07-15 05:28:50.184","134.25","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D996FDE8-150725031435-AITS25A1NB0210-yamonporn.t"
"28000197D99709BF","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-15 03:02:53.797","2025-07-15 05:33:49.468","150.93","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D99709BF-150725030253-AITS25A1NB0260-thirada.s"
"28000197D99709FF","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-15 05:59:15.179","2025-07-15 10:10:07.435","250.87","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D99709FF-150725055915-AITS25A1NB0260-thirada.s"
"18000197D996FE13","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-15 05:52:47.429","2025-07-15 12:05:18.239","372.51","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D996FE13-150725055247-AITS25A1NB0210-yamonporn.t"
"28000197D9970A37","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-15 10:34:23.520","2025-07-15 12:56:55.765","142.54","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D9970A37-150725103423-AITS25A1NB0260-thirada.s"
"28000197D9970A25","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-15 07:55:21.279","2025-07-15 12:57:10.847","301.83","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D9970A25-150725075521-AITS25A1NB0210-yamonporn.t"
